"selected_quarter","fast_ma","ma_diff","signal_estimator","window_regime","treshold_regime","instrument_name","group_data","p_val","tr_cost","stats_mm","stats_mr","stats_fl"
"2022_Q3",41,79,"mean",86,0.31396,"SP",1,50,12,0.227783309067876,-7.05465997630378,0.244340295716303
"2022_Q4",41,79,"mean",86,0.31396,"SP",1,50,12,10.5273443955911,-9.6141771336569,10.0836529965403
"2023_Q2",41,79,"mean",86,0.31396,"SP",1,50,12,0,-8.09972601986219,-2.51725475676423
"2023_Q4",41,79,"mean",86,0.31396,"SP",1,50,12,0.186649329309098,-7.2786603199592,0.0540797869002457
"2024_Q1",41,79,"mean",86,0.31396,"SP",1,50,12,-0.586600295410287,-4.87233991487911,-0.801908672164125
"2024_Q2",41,79,"mean",86,0.31396,"SP",1,50,12,-5.25148031819289,-0.626724323701541,-5.34764206019216
"2022_Q1",79,2,"mean",82,0.3813,"SP",1,50,12,-3.72995076321623,-12.7775426051301,-3.79536085508761
"2022_Q3",79,2,"mean",82,0.3813,"SP",1,50,12,-7.95685061876626,-13.3302376100661,-8.00421296730084
"2022_Q4",79,2,"mean",82,0.3813,"SP",1,50,12,-1.89413045376257,-14.3020503822898,-1.96017301737998
"2023_Q2",79,2,"mean",82,0.3813,"SP",1,50,12,-8.46589353219469,-12.5764017027897,-9.7382371117911
"2023_Q4",79,2,"mean",82,0.3813,"SP",1,50,12,-9.76340329427818,-12.6134007879771,-9.62803820703849
"2024_Q1",79,2,"mean",82,0.3813,"SP",1,50,12,-12.5844755210947,-8.60732354070426,-12.7280096313328
"2024_Q2",79,2,"mean",82,0.3813,"SP",1,50,12,-6.20642809710934,-13.042362523542,-6.3581570630823
"2022_Q1",57,90,"mean",63,0.26384,"SP",1,50,12,35.8818365626907,-13.9896524449184,35.4907953291297
"2022_Q3",57,90,"mean",63,0.26384,"SP",1,50,12,-1.40361593745411,-3.01720697620104,-1.4597016291556
"2022_Q4",57,90,"mean",63,0.26384,"SP",1,50,12,5.77010196833204,-7.5667239249171,5.52787680356823
"2023_Q2",57,90,"mean",63,0.26384,"SP",1,50,12,-4.55576842563482,-1.03033181261577,-6.92188031393872
"2023_Q4",57,90,"mean",63,0.26384,"SP",1,50,12,-0.25346401410204,-5.1805906104296,-0.432152967913306
"2024_Q1",57,90,"mean",63,0.26384,"SP",1,50,12,-1.90666430103799,-1.99386853878986,-1.49273350100878
"2024_Q2",57,90,"mean",63,0.26384,"SP",1,50,12,-0.881209058992452,-4.80935688370287,-1.02964953086446
"2022_Q1",67,77,"mean",95,0.45026,"SP",1,50,12,19.4843414039492,-12.341933340811,19.4231200503629
"2022_Q3",67,77,"mean",95,0.45026,"SP",1,50,12,0,-6.81014054761075,0
"2022_Q4",67,77,"mean",95,0.45026,"SP",1,50,12,0.947040783680102,-6.47488972696758,0.867224207048045
"2023_Q2",67,77,"mean",95,0.45026,"SP",1,50,12,-3.32505156382922,-1.56176960422957,-7.51507342081325
"2023_Q4",67,77,"mean",95,0.45026,"SP",1,50,12,-2.12355271235479,-3.65877345099316,-2.28113514800337
"2024_Q1",67,77,"mean",95,0.45026,"SP",1,50,12,-0.21429748515937,-4.55955350456526,-0.395786758767261
"2024_Q2",67,77,"mean",95,0.45026,"SP",1,50,12,0.847103180036353,-7.95668055908312,0.539278087388763
"2022_Q1",58,66,"mean",86,0.75545,"SP",1,50,12,32.4693632192889,-12.6288154395012,28.9061271353251
"2022_Q3",58,66,"mean",86,0.75545,"SP",1,50,12,0,-7.32385042818652,-0.734232302987215
"2022_Q4",58,66,"mean",86,0.75545,"SP",1,50,12,0.170905202179136,-5.3446387339383,0
"2023_Q2",58,66,"mean",86,0.75545,"SP",1,50,12,-0.90864747860698,-5.47437781644045,-3.54181590724185
"2023_Q4",58,66,"mean",86,0.75545,"SP",1,50,12,0.383511667013837,-7.33852954174352,0
"2024_Q1",58,66,"mean",86,0.75545,"SP",1,50,12,-1.53293394811754,-3.2510688680101,-2.860501509183
"2024_Q2",58,66,"mean",86,0.75545,"SP",1,50,12,-3.33733044927209,-4.16883859696004,-2.70382615751594
"2022_Q1",47,58,"mean",93,0.57007,"SP",1,50,12,0,-7.91907548879721,0
"2022_Q3",47,58,"mean",93,0.57007,"SP",1,50,12,0,-6.56257630496699,0.0346204353073606
"2022_Q4",47,58,"mean",93,0.57007,"SP",1,50,12,14.1120677325146,-11.1650897176579,13.5696223528706
